nmtkp,tgldtgsjp,jumlahsep,tanggal,harilibur
RJTL,1/1/2022,38586,1/1/2022,1.0
RJTL,1/2/2022,24476,,0.0
RJTL,1/3/2022,419222,,0.0
RJTL,1/4/2022,421107,,0.0
RJTL,1/5/2022,403783,,0.0
RJTL,1/6/2022,411268,,0.0
RJTL,1/7/2022,362441,,0.0
RJTL,1/8/2022,209789,,0.0
RJTL,1/9/2022,24940,,0.0
RJTL,1/10/2022,456360,,0.0
RJTL,1/11/2022,425247,,0.0
RJTL,1/12/2022,395124,,0.0
RJTL,1/13/2022,412578,,0.0
RJTL,1/14/2022,358836,,0.0
RJTL,1/15/2022,210835,,0.0
RJTL,1/16/2022,25164,,0.0
RJTL,1/17/2022,461094,,0.0
RJTL,1/18/2022,426402,,0.0
RJTL,1/19/2022,391562,,0.0
RJTL,1/20/2022,401403,,0.0
RJTL,1/21/2022,359961,,0.0
RJTL,1/22/2022,219521,,0.0
RJTL,1/23/2022,26435,,0.0
RJTL,1/24/2022,466889,,0.0
RJTL,1/25/2022,425961,,0.0
RJTL,1/26/2022,390219,,0.0
RJTL,1/27/2022,418145,,0.0
RJTL,1/28/2022,371200,,0.0
RJTL,1/29/2022,215919,,0.0
RJTL,1/30/2022,26135,,0.0
RJTL,1/31/2022,449896,,0.0
RJTL,2/1/2022,47899,2/1/2022,1.0
RJTL,2/2/2022,440399,,0.0
RJTL,2/3/2022,447447,,0.0
RJTL,2/4/2022,376063,,0.0
RJTL,2/5/2022,215997,,0.0
RJTL,2/6/2022,29745,,0.0
RJTL,2/7/2022,448643,,0.0
RJTL,2/8/2022,393758,,0.0
RJTL,2/9/2022,365916,,0.0
RJTL,2/10/2022,414508,,0.0
RJTL,2/11/2022,360449,,0.0
RJTL,2/12/2022,212439,,0.0
RJTL,2/13/2022,31267,,0.0
RJTL,2/14/2022,425984,,0.0
RJTL,2/15/2022,361771,,0.0
RJTL,2/16/2022,371726,,0.0
RJTL,2/17/2022,403397,,0.0
RJTL,2/18/2022,351299,,0.0
RJTL,2/19/2022,211632,,0.0
RJTL,2/20/2022,31642,,0.0
RJTL,2/21/2022,427519,,0.0
RJTL,2/22/2022,387615,,0.0
RJTL,2/23/2022,366851,,0.0
RJTL,2/24/2022,393312,,0.0
RJTL,2/25/2022,352350,,0.0
RJTL,2/26/2022,208673,,0.0
RJTL,2/27/2022,30299,,0.0
RJTL,2/28/2022,52585,2/28/2022,1.0
RJTL,3/1/2022,436051,,0.0
RJTL,3/2/2022,458884,,0.0
RJTL,3/3/2022,50426,3/3/2022,1.0
RJTL,3/4/2022,408214,,0.0
RJTL,3/5/2022,235068,,0.0
RJTL,3/6/2022,28471,,0.0
RJTL,3/7/2022,452776,,0.0
RJTL,3/8/2022,430411,,0.0
RJTL,3/9/2022,413220,,0.0
RJTL,3/10/2022,393553,,0.0
RJTL,3/11/2022,364907,,0.0
RJTL,3/12/2022,219160,,0.0
RJTL,3/13/2022,28212,,0.0
RJTL,3/14/2022,431203,,0.0
RJTL,3/15/2022,405240,,0.0
RJTL,3/16/2022,407432,,0.0
RJTL,3/17/2022,382765,,0.0
RJTL,3/18/2022,357203,,0.0
RJTL,3/19/2022,217791,,0.0
RJTL,3/20/2022,25873,,0.0
RJTL,3/21/2022,438786,,0.0
