nmtkp,tgldtgsjp,tglsep,jumlahsep,harilibur,autoarima_jumlahsep,simplefeedforward_jumlahsep,deepar_jumlahsep,transformer_jumlahsep,mqcnn_jumlahsep,row_origin,training_session
RITL,2022-01-01,2022-01-01T00:00:00.000000Z,23441,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-02,2022-01-02T00:00:00.000000Z,25923,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-03,2022-01-03T00:00:00.000000Z,41267,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-04,2022-01-04T00:00:00.000000Z,40035,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-05,2022-01-05T00:00:00.000000Z,39860,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-06,2022-01-06T00:00:00.000000Z,37842,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-07,2022-01-07T00:00:00.000000Z,34717,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-08,2022-01-08T00:00:00.000000Z,28782,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-09,2022-01-09T00:00:00.000000Z,26077,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-10,2022-01-10T00:00:00.000000Z,42009,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-11,2022-01-11T00:00:00.000000Z,39659,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-12,2022-01-12T00:00:00.000000Z,38870,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-13,2022-01-13T00:00:00.000000Z,37141,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-14,2022-01-14T00:00:00.000000Z,34276,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-15,2022-01-15T00:00:00.000000Z,28621,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-16,2022-01-16T00:00:00.000000Z,26628,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-17,2022-01-17T00:00:00.000000Z,42022,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-18,2022-01-18T00:00:00.000000Z,38375,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-19,2022-01-19T00:00:00.000000Z,38008,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-20,2022-01-20T00:00:00.000000Z,36527,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-21,2022-01-21T00:00:00.000000Z,34378,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-22,2022-01-22T00:00:00.000000Z,28699,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-23,2022-01-23T00:00:00.000000Z,26854,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-24,2022-01-24T00:00:00.000000Z,41715,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-25,2022-01-25T00:00:00.000000Z,39354,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-26,2022-01-26T00:00:00.000000Z,38686,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-27,2022-01-27T00:00:00.000000Z,36700,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-28,2022-01-28T00:00:00.000000Z,33538,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-29,2022-01-29T00:00:00.000000Z,27405,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-30,2022-01-30T00:00:00.000000Z,24964,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-01-31,2022-01-31T00:00:00.000000Z,34978,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-01,2022-02-01T00:00:00.000000Z,28180,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-02,2022-02-02T00:00:00.000000Z,41680,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-03,2022-02-03T00:00:00.000000Z,35957,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-04,2022-02-04T00:00:00.000000Z,32334,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-05,2022-02-05T00:00:00.000000Z,26191,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-06,2022-02-06T00:00:00.000000Z,23855,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-07,2022-02-07T00:00:00.000000Z,37380,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-08,2022-02-08T00:00:00.000000Z,34760,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-09,2022-02-09T00:00:00.000000Z,32913,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-10,2022-02-10T00:00:00.000000Z,31913,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-11,2022-02-11T00:00:00.000000Z,28935,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-12,2022-02-12T00:00:00.000000Z,23571,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-13,2022-02-13T00:00:00.000000Z,21274,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-14,2022-02-14T00:00:00.000000Z,32889,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-15,2022-02-15T00:00:00.000000Z,30703,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-16,2022-02-16T00:00:00.000000Z,29763,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-17,2022-02-17T00:00:00.000000Z,28197,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-18,2022-02-18T00:00:00.000000Z,25680,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-19,2022-02-19T00:00:00.000000Z,20904,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-20,2022-02-20T00:00:00.000000Z,19229,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-21,2022-02-21T00:00:00.000000Z,30447,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-22,2022-02-22T00:00:00.000000Z,29702,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-23,2022-02-23T00:00:00.000000Z,27554,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-24,2022-02-24T00:00:00.000000Z,26096,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-25,2022-02-25T00:00:00.000000Z,24456,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-26,2022-02-26T00:00:00.000000Z,19666,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-27,2022-02-27T00:00:00.000000Z,16105,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-02-28,2022-02-28T00:00:00.000000Z,19787,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-01,2022-03-01T00:00:00.000000Z,30190,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-02,2022-03-02T00:00:00.000000Z,27673,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-03,2022-03-03T00:00:00.000000Z,21187,1,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-04,2022-03-04T00:00:00.000000Z,28068,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-05,2022-03-05T00:00:00.000000Z,21940,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-06,2022-03-06T00:00:00.000000Z,20058,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-07,2022-03-07T00:00:00.000000Z,32332,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-08,2022-03-08T00:00:00.000000Z,31722,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-09,2022-03-09T00:00:00.000000Z,31887,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-10,2022-03-10T00:00:00.000000Z,30125,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-11,2022-03-11T00:00:00.000000Z,28377,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-12,2022-03-12T00:00:00.000000Z,23056,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-13,2022-03-13T00:00:00.000000Z,20941,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-14,2022-03-14T00:00:00.000000Z,34670,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-15,2022-03-15T00:00:00.000000Z,32791,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-16,2022-03-16T00:00:00.000000Z,32702,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-17,2022-03-17T00:00:00.000000Z,30847,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-18,2022-03-18T00:00:00.000000Z,28608,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-19,2022-03-19T00:00:00.000000Z,23387,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-20,2022-03-20T00:00:00.000000Z,21557,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-21,2022-03-21T00:00:00.000000Z,35784,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-22,2022-03-22T00:00:00.000000Z,34721,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-23,2022-03-23T00:00:00.000000Z,33636,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-24,2022-03-24T00:00:00.000000Z,32441,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-25,2022-03-25T00:00:00.000000Z,29953,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-26,2022-03-26T00:00:00.000000Z,24045,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-27,2022-03-27T00:00:00.000000Z,22634,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-28,2022-03-28T00:00:00.000000Z,37196,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-29,2022-03-29T00:00:00.000000Z,35394,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-30,2022-03-30T00:00:00.000000Z,34013,0,,,,,,train,2024-10-24T04:14:51.465237Z
RITL,2022-03-31,2022-03-31T00:00:00.000000Z,31620,0,,,,,,train,2024-10-24T04:14:51.465237Z
